"","Estimate..Intercept.","Std..Error..Intercept.","t.value..Intercept.","Pr...t....Intercept.","Estimate.year","Std..Error.year","t.value.year","Pr...t...year"
"June_mn",-14.2560180237641,23.1652653528895,-0.615404909315484,0.542054418796881,0.0106804667757207,0.0115882432272092,0.921664014666431,0.362674837350016
"July_mn",-13.3815136048611,24.0377040496667,-0.556688508070996,0.581092059905068,0.0111174704648377,0.0120246738773688,0.924554842669074,0.361188406763907
"Aug_mn",9.37680864080747,24.5886139692413,0.38134758846258,0.705126517988459,-0.000598846362549103,0.0123002622657193,-0.0486856580463396,0.961431667007557
"Sep_mn",-1.17785418245513,27.0126298443396,-0.0436038323274157,0.965454670609663,0.00316608701137482,0.013512857291908,0.234301816631395,0.816042388080344
"MxDAT",-41.6663995466225,33.9916571430951,-1.2257831199938,0.228025378044691,0.0265389389458738,0.017004061238649,1.56074120019944,0.12709846415867
"MA7d_DAT",-24.7441514735824,32.4423878760128,-0.762710549178708,0.450471506637974,0.0175497059980248,0.0162290513772079,1.08137595908234,0.286527875190577
"MxDAT_jd",1090.83308818775,500.37668901317,2.18002379435193,0.0356924856940052,-0.446691203533317,0.250309534088153,-1.7845552913538,0.0825352723648784
"MA7d_DAT_jd",962.268747058375,380.431412545343,2.52941454182279,0.0158167150260187,-0.380984709070839,0.190307845504402,-2.00193905858719,0.0526631268606195
"CDD",-587.162020072246,2352.92861025677,-0.249545191261953,0.80431932952124,0.741473960783814,1.17703417666716,0.629951088492043,0.53259786237693
"Range",-45.5402249878935,47.0928896830128,-0.967029742588095,0.339807957471318,0.0274620326751508,0.0235578505838618,1.16572743244936,0.251184572250257
"Var",-23.0076592433322,50.6436241562226,-0.454305149496399,0.652263249349735,0.0135636584597883,0.0253340777966297,0.535391837376957,0.595582583043719
"Sum_13_JAS",-89.0421739106194,52.9581841735001,-1.68136757897329,0.101115127216843,0.0453111720815073,0.0264919183840607,1.7103771582193,0.0955702635093886
"Sum_18_JJAS",0,0,NA,NA,0,0,NA,NA
