"","(Intercept)","catchment_elev_mnc","cont_areac","jdc","I(jdc^2)","prcp5c","reach_slopec","season","sweA1c","tair3c","I(tair3c^2)","wetlandc","season:tair3c","sweA1c:wetlandc","I(tair3c^2):season","df","logLik","AIC","delta","weight"
"8176",10.9431880889144,-0.0050880805769509,0.00339396244586755,-0.013473698213931,-0.000355527866971252,NA,-0.0769573715772877,"+",-0.00161959914959168,0.694846591247297,0.0167451789394384,0.00436021239699245,"+",0.000114365871102257,"+",16,-10943.9330027688,21919.8660055377,0,0.229262708895578
"4080",10.9543400280931,-0.00515517117716676,0.00338695331723443,-0.0132489179047638,-0.000364961365683948,NA,-0.0798420444771524,"+",-0.0016653954650215,0.691461994281721,0.0156642473990314,0.00427530383463932,"+",0.00011471785809254,NA,15,-10945.5217228984,21921.0434457968,1.17744025910361,0.127249333397227
"8144",10.9579533250266,-0.00561033974491994,0.00338347193072013,-0.013458023601046,-0.000355047985423295,NA,NA,"+",-0.00177193535697687,0.695431598181815,0.0167622884144108,0.00445922950035913,"+",0.000123455052676558,"+",15,-10945.6097355153,21921.2194710305,1.35346549283713,0.116528490880585
"8192",10.9412537348323,-0.00508804587098662,0.00339551411036551,-0.0135300393439966,-0.000355938119761571,0.00105737653580357,-0.0769295052065609,"+",-0.00161458765769809,0.69629079434335,0.0168044304880693,0.00437953582015027,"+",0.000114149536707541,"+",17,-10943.7101438942,21921.4202877883,1.55428225064679,0.105396288405341
"2992",10.9317119696653,-0.00518427597827676,0.00339048256562447,-0.011972743794668,-0.000369124108784066,NA,-0.0769007351203915,NA,-0.00168341238071618,0.706760105041808,0.0168324889172947,0.00414841546124095,NA,0.000117505158074675,NA,13,-10948.2165502459,21922.4331004919,2.56709495419636,0.0635178563888084
"4096",10.9525796161368,-0.00515559010109572,0.00338837864650511,-0.0133008571963227,-0.000365414394805283,0.00100329234543226,-0.0798351803932138,"+",-0.00166095052035767,0.692809456980966,0.0157131575029482,0.00429306055196418,"+",0.000114515010781668,NA,16,-10945.3211049911,21922.6422099821,2.77620444444619,0.057212152048203
"4048",10.9701432128359,-0.00570058442592242,0.00337576086103391,-0.0132234055087078,-0.000364850485798208,NA,NA,"+",-0.00182555440021458,0.691930611243819,0.0156376528473882,0.00437470973798258,"+",0.000124175991404049,NA,14,-10947.3282172149,21922.6564344298,2.79042889211269,0.0568066899944427
"8160",10.9560037998161,-0.00561009678130209,0.00338503464047584,-0.0135145127768798,-0.000355459271108684,0.00106011797001602,NA,"+",-0.00176686199122729,0.696879513722548,0.0168216708561868,0.00447855704712617,"+",0.000123235267566701,"+",16,-10945.3858281496,21922.7716562993,2.90565076159692,0.0536264901733009
"2960",10.9472874810129,-0.00570956216424921,0.0033795840320124,-0.0119509744243083,-0.000369444387579352,NA,NA,NA,-0.00183728602228494,0.706851612072559,0.0167859326028399,0.00424764640567249,NA,0.000126551659922552,NA,12,-10949.8931329317,21923.7862658634,3.92026032569993,0.0322893799998468
"3008",10.9302811293356,-0.00518416622248167,0.00339218290643062,-0.0120969213028014,-0.000368966030752888,0.001232544243615,-0.0769236996840967,NA,-0.00167774019027894,0.708078975275087,0.0168590289021782,0.00417255682448466,NA,0.000117205583385438,NA,14,-10947.9119207737,21923.8238415474,3.95783600972936,0.0316883955085003
"4064",10.9683757152131,-0.00570093885826369,0.00337719116735392,-0.0132753754270284,-0.000365303632084087,0.00100392163259211,NA,"+",-0.00182109915829774,0.693279046479709,0.0156865774966926,0.00439245927945295,"+",0.000123972599355916,NA,15,-10947.1274528373,21924.2549056747,4.38890013700438,0.0255444092826669
"3056",10.9306645477164,-0.00518400928865484,0.00339032190840419,-0.011816115795685,-0.000372277883492383,NA,-0.0770898399476421,"+",-0.00168234911508345,0.706661055874998,0.0168650067457263,0.00415161545941065,NA,0.000117431053178607,NA,14,-10948.1945885022,21924.3891770045,4.52317146678979,0.0238857683021206
"2976",10.9458582257504,-0.00570958770338043,0.00338128183890363,-0.012074919758671,-0.00036928652266676,0.00123037360276021,NA,NA,-0.001831677311171,0.708168378473426,0.0168123896599977,0.00427176347105868,NA,0.0001262557855421,NA,13,-10949.5897227786,21925.1794455571,5.31344001943216,0.0160892047829811
